planning_area,rank,Active_Living_Score,park_area_sqm,pcn_length_km,count_major_infra,count_school_facilities,count_community_gyms,count_private_fitness,count_healthier_eateries,count_chas_clinics,count_eldercare_facilities,total_population,pop_aged_65_over,pop_aged_65_over_pct,pop_density,land_area_sqkm,norm_pcn_length_km,norm_park_area_sqm,norm_count_major_infra,norm_count_community_gyms,norm_count_private_fitness,norm_count_school_facilities,norm_count_healthier_eateries,norm_count_chas_clinics,norm_count_eldercare_facilities,cat_active_commute,cat_structured_fitness,cat_healthy_nutrition,cat_preventative_care,park_area_per_capita,pcn_length_per_10k_pop,sports_facilities_per_10k_pop,all_gyms_per_10k_pop,healthier_eateries_per_10k_pop,chas_clinics_per_10k_pop,eldercare_per_1k_seniors,cluster_id,pca_x,pca_y,archetype
ANG MO KIO,11,33.805262805359845,866927.8954175824,5.62643944275377,3.0,9.0,1.0,8.0,43.0,64.0,11.0,159380,41960,26.32701719161752,11431.165931511789,13.942584768246975,0.2178211647539931,0.2507493963275911,0.75,0.0454545454545454,0.2758620689655172,0.5294117647058824,0.2514619883040935,0.7901234567901234,0.5238095238095238,0.2342852805407921,0.4001820947814862,0.2514619883040935,0.6569664902998236,5.439376931971278,0.35302041929688605,0.7529175555276697,0.5646881666457523,2.69795457397415,4.015560296147572,0.2621544327931363,0,-1.644956607164543,0.7414392128649655,Mature Active Heartland
PUNGGOL,12,33.10248541271549,1122937.882098843,20.37589774168648,0.0,7.0,0.0,9.0,43.0,29.0,2.0,204520,20470,10.008801095247408,21817.14804844634,9.374277497033551,0.7888295651557129,0.3247974803187511,0.0,0.0,0.3103448275862069,0.4117647058823529,0.2514619883040935,0.3580246913580246,0.0952380952380952,0.556813522737232,0.1805273833671399,0.2514619883040935,0.2266313932980599,5.490601809597316,0.99627898208911,0.3422648151769998,0.44005476237042834,2.102483864658713,1.4179542343047136,0.09770395701025891,0,-0.7804206999688837,-0.37231001771067707,Mature Active Heartland
PASIR RIS,13,32.270871576324,854566.1237863151,17.53318204291322,1.0,13.0,0.0,4.0,39.0,23.0,0.0,144650,23370,16.15623919806429,9153.220208663526,15.803181470832389,0.6787770797657353,0.2471738893096899,0.25,0.0,0.1379310344827586,0.7647058823529411,0.2280701754385964,0.2839506172839506,0.0,0.4629754845377126,0.2881592292089249,0.2280701754385964,0.1419753086419753,5.90781972890643,1.212110753053109,0.9678534393363291,0.27652955409609403,2.6961631524369167,1.5900449360525406,0.0,0,-1.0440886783391254,-0.1678655843958816,Mature Active Heartland
SENGKANG,14,29.78257250744296,231674.8701058417,7.924234194880655,2.0,10.0,0.0,5.0,71.0,44.0,5.0,268040,35380,13.199522459334428,25279.53439469029,10.603043387393209,0.3067776592415487,0.06700941811929,0.5,0.0,0.1724137931034483,0.5882352941176471,0.4152046783625731,0.5432098765432098,0.238095238095238,0.1868935386804193,0.3151622718052738,0.4152046783625731,0.390652557319224,0.8643294661462532,0.2956362555917272,0.44769437397403367,0.18653932248918073,2.6488583793463665,1.6415460379047904,0.14132278123233463,0,-1.2712444260550892,0.026289242100582116,Mature Active Heartland
JURONG EAST,15,29.06404497876649,860227.7450686452,8.332720664098163,2.0,7.0,2.0,2.0,63.0,26.0,3.0,73160,18370,25.109349371241112,4096.291573478853,17.86005675808558,0.3225917454707707,0.2488114512410613,0.5,0.0909090909090909,0.0689655172413793,0.4117647058823529,0.3684210526315789,0.3209876543209876,0.1428571428571428,0.285701598355916,0.2679098285082057,0.3684210526315789,0.2319223985890652,11.758170380927353,1.1389722066837291,1.230180426462548,0.5467468562055768,8.611262985237834,3.553854565336249,0.1633097441480675,0,-1.6101089348091064,0.5978296836293351,Mature Active Heartland
HOUGANG,16,28.94612274883353,223413.1658034837,14.552873265898151,1.0,7.0,1.0,6.0,50.0,55.0,3.0,227710,48050,21.101400904659435,16343.161362125797,13.933044834746784,0.5633978357978586,0.0646198106589654,0.25,0.0454545454545454,0.2068965517241379,0.4117647058823529,0.2923976608187134,0.6790123456790124,0.1428571428571428,0.314008823228412,0.2285289507652591,0.2923976608187134,0.4109347442680776,0.9811302349632589,0.639096801453522,0.35132405252294585,0.3074085459575776,2.1957753282684114,2.415352861095253,0.06243496357960458,0,-1.0291230483767977,0.02374242568945709,Mature Active Heartland
BISHAN,17,27.78478390219481,1318463.218069823,7.714398303076356,2.0,2.0,4.0,11.0,33.0,20.0,2.0,87610,19930,22.748544686679605,11515.339231775984,7.608112816880351,0.2986541028032278,0.3813510417171381,0.5,0.1818181818181818,0.3793103448275862,0.1176470588235294,0.1929824561403508,0.2469135802469135,0.0952380952380952,0.3400025722601829,0.2946938963673243,0.1929824561403508,0.1710758377425044,15.049232029104246,0.8805385575934661,0.4565688848304988,1.7121333181143705,3.766693299851615,2.2828444241524943,0.10035122930255896,0,-0.9648010268481402,0.07721602721597269,Mature Active Heartland
BUKIT BATOK,18,27.37887021909712,948557.294473504,11.185807331189034,2.0,5.0,1.0,2.0,32.0,42.0,3.0,166150,30520,18.3689437255492,14914.484253965782,11.140177371927594,0.4330457310317807,0.2743598057330896,0.5,0.0454545454545454,0.0689655172413793,0.2941176470588235,0.1871345029239766,0.5185185185185185,0.1428571428571428,0.3537027683824352,0.227134427438687,0.1871345029239766,0.3306878306878307,5.7090417964098945,0.6732354698278082,0.42130604875112854,0.18055973517905505,1.9259705085765875,2.527836292506771,0.0982961992136304,0,-0.9298038262936914,-0.06439433162499084,Mature Active Heartland
CLEMENTI,19,25.46987475510192,169064.60473211377,11.788067531264188,2.0,5.0,0.0,10.0,36.0,32.0,2.0,104600,22230,21.25239005736137,10985.862340328778,9.52132811786804,0.4563615455180265,0.0489000847717796,0.5,0.0,0.3448275862068966,0.2941176470588235,0.2105263157894736,0.3950617283950617,0.0952380952380952,0.2526308151449031,0.28473630831643,0.2105263157894736,0.2451499118165784,1.6162964123529042,1.1269663031801327,0.6692160611854685,0.9560229445506692,3.4416826003824093,3.0592734225621414,0.0899685110211426,0,-1.1258359399069824,0.15079102250988727,Mature Active Heartland
TOA PAYOH,20,25.167653944241625,119432.25144832158,3.4325174992476484,3.0,2.0,2.0,8.0,49.0,50.0,11.0,143010,32010,22.3830501363541,17482.430062576273,8.180212904505424,0.1328859871916881,0.0345444703198603,0.75,0.0909090909090909,0.2758620689655172,0.1176470588235294,0.2865497076023391,0.6172839506172839,0.5238095238095238,0.0837152287557742,0.3086045546745344,0.2865497076023391,0.5705467372134039,0.8351321687177231,0.2400194041848576,0.3496259002866932,0.6992518005733864,3.426333822809594,3.4962590028669323,0.3436426116838488,0,-1.409882595295825,0.6140946990740831,Mature Active Heartland
CHOA CHU KANG,21,24.60920706646322,108147.5649026913,11.217258759734204,1.0,9.0,0.0,4.0,44.0,34.0,5.0,188020,28460,15.136687586426977,30735.81178963762,6.117294096113307,0.4342633370983862,0.0312804983632308,0.25,0.0,0.1379310344827586,0.5294117647058824,0.2573099415204678,0.419753086419753,0.238095238095238,0.2327719177308085,0.2293356997971602,0.2573099415204678,0.3289241622574955,0.5751918141830193,0.5965992319824596,0.5318583129454313,0.21274332517817252,2.3401765769598977,1.8083182640144666,0.17568517217146873,0,-1.7442776574712267,0.3477448526072854,Mature Active Heartland
GEYLANG,22,23.05160263294448,51314.12774790916,5.918365973496945,1.0,3.0,2.0,12.0,53.0,41.0,8.0,117990,26260,22.25612340028816,12233.538895330776,9.644797062363835,0.2291227663434255,0.0148420492913858,0.25,0.0909090909090909,0.4137931034482758,0.1764705882352941,0.3099415204678362,0.5061728395061729,0.3809523809523809,0.1219824078174056,0.2327931956481652,0.3099415204678362,0.4435626102292769,0.4349023455200369,0.501598946817268,0.3390117806593779,1.1865412323078228,4.491906093736757,3.4748707517586235,0.30464584920030463,0,-1.0938141238514367,0.42693157829157125,Mature Active Heartland
MARINE PARADE,23,21.755488445626725,753081.4713660373,6.623974178429713,1.0,1.0,6.0,14.0,26.0,14.0,1.0,47430,10260,21.631878557874764,7733.4787059716755,6.133074364499804,0.2564395805777587,0.2178205653880475,0.25,0.2727272727272727,0.4827586206896552,0.0588235294117647,0.1520467836257309,0.1728395061728395,0.0476190476190476,0.2371300729829031,0.2660773557071731,0.1520467836257309,0.1102292768959435,15.877745548514385,1.396578996084696,0.421674045962471,4.21674045962471,5.481762597512123,2.9517183217372973,0.09746588693957114,0,-0.6365831864774377,-0.04653358171976358,Mature Active Heartland
SEMBAWANG,24,21.441261198127844,267268.86131438793,11.514052625528777,1.0,7.0,0.0,1.0,44.0,17.0,0.0,113810,13610,11.958527370178368,9006.667599568353,12.636194101962236,0.445753371994696,0.0773045901348743,0.25,0.0,0.0344827586206896,0.4117647058823529,0.2573099415204678,0.2098765432098765,0.0,0.2615289810647851,0.1740618661257606,0.2573099415204678,0.1049382716049382,2.348377658504419,1.0116907675537103,0.7029259291802127,0.08786574114752659,3.8660926104911693,1.493717599507952,0.0,0,-0.5629055081604605,-0.5083039458531105,Mature Active Heartland
